"item_id","product_id","customer_id","Cluster","Silhouette","order_id","SVM","SVM (C1)","SVM (C2)","SVM (C3)","SVM (C4)","SVM (C5)","Fold","qty_ordered"
"1511510.0","4017.0","41493.0","C1","0.6642296978821515","59374.0","C1","0.9997825883520284","8.044328481819139e-06","8.800656393306174e-05","0.00011915940058161322","2.2013549748257976e-06",5,
"1079976.0","11345.0","22220.0","C1","0.7015872100978748","43006.0","C1","0.9996791461484915","5.657384815041878e-07","0.00013964092652643097","0.00017427939833760653","6.367788162632043e-06",5,
"1108137.0","13805.0","22092.0","C1","0.70112577537421","44066.0","C1","0.9996816786478241","5.617311096293575e-07","0.0001383259964464015","0.00017337677027170781","6.056854348022377e-06",5,
"6474337.0","12807.0","41890.0","C5","0.5630907907396769","242803.0","C5","5.697737739166381e-05","8.296398980053027e-05","0.0127302071153104","0.0006415383240970611","0.9864883131934005",5,
"1308834.0","11146.0","20685.0","C1","0.6961799114819955","51810.0","C1","0.999675498739174","6.046126904106761e-07","0.00014163252341443816","0.00017741456940529012","4.8495553158489e-06",5,
"3170983.0","6120.0","73487.0","C2","0.6840534324054184","115918.0","C2","3.9983818687937785e-07","0.9997961947129924","7.509043111998049e-07","0.00019883984385107563","3.8147006584318984e-06",5,
"1998296.0","7568.0","20685.0","C1","0.6557011292320553","76887.0","C1","0.9996387291927233","9.513167779979995e-07","0.00015522612383579766","0.0001978352945149279","7.258072147731081e-06",5,
"2827087.0","22524.0","72590.0","C2","0.6882938571420456","104661.0","C2","5.273863408641281e-07","0.9997961410564745","6.787254597855758e-07","0.0001987868402273819","3.865991497539961e-06",5,
"663464.0","10089.0","19143.0","C1","0.7000699172301925","25424.0","C1","0.9993516901608466","1.749124194241001e-06","0.00031310322516638864","0.0003057124070393344","2.7745082753446893e-05",5,
"4847863.0","29319.0","22220.0","C5","0.6832998469831346","176975.0","C5","2.8148496231546017e-07","3.749317723383694e-07","3.9225884598115525e-07","1.5800486312748547e-07","0.9999987933195563",5,
"1897312.0","9037.0","41185.0","C1","0.633721991452409","73199.0","C1","0.999597928244336","0.00014211056490851014","0.00012487272376287382","0.00013294137285346688","2.1470941390257364e-06",5,
"6120892.0","4265.0","25395.0","C5","0.6401146848806735","228584.0","C5","5.155698956153137e-07","6.230059557642614e-07","6.921457794544971e-05","0.00033050199621093213","0.9995991448499922",5,
"5081428.0","3053.0","25395.0","C5","0.6805129887198891","186119.0","C5","2.2155020411823237e-07","2.467202173688306e-07","3.6286015259656825e-07","1.2450896628303376e-07","0.9999990443604596",5,
"477730.0","7343.0","26764.0","C1","0.7018616099065607","18365.0","C1","0.9995397933367978","9.103599844358172e-07","0.00020077928339299814","0.000237242259131626","2.127476069310828e-05",5,
"1284693.0","5034.0","24389.0","C1","0.6986553758214418","50885.0","C1","0.9997547522968458","3.886233582947264e-07","0.00010128028653053596","0.00014037371896825177","3.2050742969833637e-06",5,
"4034424.0","7226.0","111608.0","C3","0.5010306658425228","145389.0","C3","0.0023207217059386014","0.14021553710280057","0.855348314013987","0.0014728797530404074","0.0006425474242333551",5,
"1961322.0","14069.0","21751.0","C1","0.6605100404585436","75597.0","C1","0.9996756885058393","9.019230677754799e-07","0.00013772351141884813","0.00018064316454096793","5.042895133144839e-06",5,
"5529173.0","7932.0","65133.0","C3","0.6128280528580389","204594.0","C3","0.00043554052819607156","4.451547683992186e-05","0.9941254585606126","0.0004526630824827063","0.004941822351868404",5,
"4923266.0","7201.0","55896.0","C5","0.5303749906051185","179807.0","C5","0.0005982738472553967","0.0025287407270405205","0.1471931288385664","0.0005334928416098466","0.8491463637455279",5,
"3052044.0","3066.0","73994.0","C2","0.6873049698742333","111987.0","C2","4.301773407843306e-07","0.9997971503601372","7.430612645272205e-07","0.0001979413432525695","3.7350580051682945e-06",5,
"1005791.0","4155.0","22720.0","C1","0.7026281652128006","40228.0","C1","0.9996741544882499","5.716287628021604e-07","0.00014204719805844003","0.00017602094168498966","7.205743243653339e-06",5,
"2018038.0","32162.0","75583.0","C2","0.648736887362222","77587.0","C2","1.8779929797596095e-06","0.9995916738886264","1.3335316781017303e-06","0.0003854849777426688","1.9629608973032196e-05",5,
"1481341.0","6164.0","42158.0","C1","0.6635861989378171","58334.0","C1","0.9997759377196901","8.874317953116926e-06","9.062634451875345e-05","0.0001221158246465002","2.445793191575097e-06",5,
"671061.0","7362.0","29223.0","C1","0.7037446086346516","25689.0","C1","0.9996869811174186","5.083431775589277e-07","0.00012818366778246095","0.00017347539961747824","1.0851472003721332e-05",5,
"656056.0","23169.0","30091.0","C1","0.7031720296878587","25116.0","C1","0.99968905636467","5.028658297558677e-07","0.00012554034918301827","0.00017387192623380578","1.1028494083345731e-05",5,
"252390.0","4562.0","35126.0","C1","0.6922905086143177","9745.0","C1","0.9994752144292688","1.0823884599394747e-06","0.00020968401343749907","0.0002824745859199096","3.1544582913823054e-05",5,
"639680.0","29086.0","34142.0","C1","0.6997405627615436","24498.0","C1","0.9997057880916628","4.6451230317651104e-07","0.00011313636346107478","0.00016965618266331998","1.0954849909540321e-05",5,
"6129424.0","4139.0","30375.0","C5","0.6310152767282216","228895.0","C5","5.336556725628109e-07","6.24159969465147e-07","1.1389269599086634e-06","4.328010885014839e-07","0.9999972704563096",5,
"854613.0","11979.0","42145.0","C1","0.6850540671067237","34576.0","C1","0.9997324626318584","6.655155451116023e-07","0.00010019040413553473","0.00015811911759604038","8.562330864899284e-06",5,
"1090791.0","7437.0","20028.0","C1","0.699727947970129","43424.0","C1","0.9996129301876452","7.762327923010315e-07","0.00017486810274300159","0.00020306199275193829","8.363484067655119e-06",5,
"3015036.0","9998.0","97469.0","C2","0.6460564200913772","110785.0","C2","9.72668166016788e-07","0.9995504514236904","2.2106696642381733e-06","0.00041147532900897817","3.488990947033769e-05",5,
"3545968.0","5787.0","74698.0","C2","0.6650227195436534","127929.0","C2","3.6693735710173186e-07","0.99975597958247","2.575209858798135e-06","0.00023331278918992162","7.765481124093644e-06",5,
"2638934.0","29234.0","33753.0","C1","0.568300171259262","98678.0","C1","0.976247709447325","0.006145311205445319","0.00034035007512726043","0.00026320199385906055","0.01700342727824356",5,
"4639503.0","27560.0","19991.0","C5","0.6805222517605516","168480.0","C5","3.689853278392308e-07","5.819711236978078e-07","4.5795014082929637e-07","2.095913280536758e-07","0.9999983815020795",5,
